ticket_id,order_id,customer_id,ticket_date,issue_type,channel,ticket_status,resolution_time_hrs,agent_id,csat_score,is_repeat_complaint
TKT000001,ORD006328,CUST01627,2024-06-15,Refund Not Received,Chat,Open,,AGT01,,False
TKT000002,,CUST00868,2023-01-15,Damaged Product,Email,Closed,56.0,AGT03,3.0,False
TKT000003,ORD008354,CUST00928,2023-01-28,Cancellation Request,Email,Closed,12.0,AGT03,2.0,False
TKT000004,ORD009043,CUST01472,2024-06-17,Refund Not Received,Chat,Resolved,56.0,AGT14,4.0,False
TKT000005,ORD014288,CUST01080,2024-04-21,,Phone,Open,,AGT05,,True
TKT000006,ORD010796,CUST01747,2023-06-26,Refund Not Received,Chat,Closed,45.0,AGT07,3.0,True
TKT000007,ORD004661,CUST00060,2023-03-07,Promo Code Not Working,Phone,Resolved,51.0,AGT08,2.0,False
TKT000008,ORD006791,CUST01219,2023-12-18,Refund Not Received,Phone,Closed,23.0,AGT03,5.0,False
TKT000009,ORD013818,CUST01387,2023-04-15,Delivery Delay,Chat,Resolved,60.0,AGT12,1.0,False
TKT000010,ORD010104,CUST00348,2024-01-16,Refund Not Received,Phone,Resolved,17.0,AGT08,4.0,False
TKT000011,ORD012447,CUST01249,2024-01-22,Wrong Item Received,Chat,Resolved,36.0,AGT08,3.0,True
TKT000012,,CUST00699,2024-01-27,Login Issue,Email,Resolved,12.0,AGT01,5.0,False
TKT000013,ORD014163,CUST00838,2023-11-15,Damaged Product,Chat,Resolved,25.0,AGT04,1.0,False
TKT000014,ORD012901,CUST00165,2023-01-07,Delivery Delay,Chat,Resolved,24.0,AGT15,2.0,False
TKT000015,ORD001780,CUST01274,2023-04-12,Payment Failed,Email,Resolved,35.0,AGT10,2.0,False
TKT000016,ORD011936,CUST01944,2022-06-01,Payment Failed,Chat,Escalated,,AGT01,,False
TKT000017,ORD000156,CUST00487,2022-10-04,Cancellation Request,Phone,Resolved,65.0,AGT18,4.0,False
TKT000018,ORD014503,CUST01301,2022-07-19,Payment Failed,Chat,Closed,68.0,AGT06,1.0,False
TKT000019,ORD005674,CUST00656,2023-07-16,Refund Not Received,Email,Closed,60.0,AGT02,3.0,False
TKT000020,ORD000196,CUST01041,2023-02-13,Wrong Item Received,Email,Escalated,,AGT20,,False
TKT000021,ORD003745,CUST00654,2023-06-28,Delivery Delay,Chat,Resolved,59.0,AGT20,3.0,False
TKT000022,ORD009591,CUST01140,2023-11-15,Payment Failed,Phone,Closed,47.0,AGT08,1.0,False
TKT000023,ORD003222,CUST00843,2022-12-22,Other,Email,Escalated,,AGT20,,False
TKT000024,,CUST01443,2023-10-24,Refund Not Received,Chat,Open,,AGT02,,False
TKT000025,ORD009082,CUST00997,2022-11-29,Damaged Product,Phone,Closed,21.0,AGT12,1.0,True
TKT000026,ORD012430,CUST00453,2022-09-16,Delivery Delay,Email,Resolved,33.0,AGT03,5.0,False
TKT000027,ORD005991,CUST01995,2022-03-19,Delivery Delay,Phone,Open,,AGT07,,False
TKT000028,,CUST00859,2023-01-26,Refund Not Received,Chat,Resolved,55.0,AGT17,1.0,False
TKT000029,ORD002467,CUST00074,2022-10-03,Promo Code Not Working,Email,Open,,AGT10,,False
TKT000030,ORD006673,CUST01010,2023-05-19,Promo Code Not Working,Phone,Escalated,,AGT05,,False
TKT000031,ORD006460,CUST01783,2022-06-18,Promo Code Not Working,Email,Open,,AGT03,,False
TKT000032,,CUST01695,2023-06-25,Delivery Delay,Email,Resolved,69.0,AGT03,1.0,False
TKT000033,ORD006127,CUST00162,2023-03-16,,Email,Closed,1.0,AGT09,3.0,False
TKT000034,ORD013776,CUST01824,2024-01-27,Payment Failed,Chat,Resolved,5.0,AGT11,5.0,False
TKT000035,ORD011216,CUST01672,2023-05-06,Payment Failed,Social Media,Resolved,63.0,AGT11,2.0,False
TKT000036,ORD002204,CUST00554,2022-05-24,Delivery Delay,Social Media,Resolved,14.0,AGT04,5.0,False
TKT000037,,CUST01775,2023-07-26,Delivery Delay,Email,Resolved,49.0,AGT05,3.0,False
TKT000038,,CUST01225,2022-03-10,Wrong Item Received,Email,Resolved,6.0,AGT08,2.0,True
TKT000039,,CUST01965,2023-03-08,Payment Failed,Chat,Open,,AGT04,,False
TKT000040,ORD005021,CUST01207,2023-04-24,Delivery Delay,Phone,Resolved,7.0,AGT12,3.0,False
TKT000041,ORD000743,CUST01500,2023-01-24,Login Issue,Email,Escalated,,AGT06,,True
TKT000042,ORD007119,CUST00843,2023-03-23,Wrong Item Received,Email,Open,,AGT11,,False
TKT000043,ORD000862,CUST01171,2023-11-07,Delivery Delay,Phone,Closed,52.0,AGT18,4.0,False
TKT000044,,CUST01359,2024-05-24,,Chat,Resolved,2.0,AGT20,5.0,False
TKT000045,ORD011036,CUST01273,2024-06-07,Delivery Delay,Phone,Resolved,55.0,AGT02,4.0,False
TKT000046,ORD009455,CUST01051,2022-02-24,Other,Email,Resolved,52.0,AGT10,2.0,False
TKT000047,,CUST01087,2022-09-25,Delivery Delay,Chat,Open,,AGT20,,True
TKT000048,ORD014917,CUST01971,2023-07-10,Refund Not Received,Email,Resolved,19.0,AGT09,1.0,False
TKT000049,ORD014492,CUST00146,2023-04-18,Damaged Product,Email,Resolved,43.0,AGT10,3.0,False
TKT000050,ORD012221,CUST00012,2022-06-30,Login Issue,Chat,Resolved,2.0,AGT01,4.0,False
TKT000051,ORD005277,CUST00407,2024-03-17,Wrong Item Received,Phone,Closed,69.0,AGT03,4.0,False
TKT000052,ORD000329,CUST00252,2022-04-14,Cancellation Request,Chat,Resolved,44.0,AGT04,4.0,False
TKT000053,,CUST00315,2022-04-02,Damaged Product,Chat,Resolved,41.0,AGT11,5.0,False
TKT000054,ORD007858,CUST01186,2024-05-04,Delivery Delay,Social Media,Resolved,5.0,AGT11,5.0,False
